资产名称,地市,区县,行业,本金/万元,利息/万元,担保方式,保证人,押品大类,押品子类,存放地市,区县,抵押品数量（单位）,抵押人,责任项目经理姓名,员工工号,责任项目经理联系方式,备注（资产包名称）
安康市秦巴实业集团有限责任公司,安康市,汉滨区,批发和零售业,720,30.39,抵押+质押+保证,朱晔、朱杰、张成凤、陈瑞,商业用房,商铺、商场,安康市,汉滨区,5259.5平方米,安康市秦巴实业集团有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
安康市秦巴实业集团有限责任公司,安康市,汉滨区,批发和零售业,720,30.39,抵押+质押+保证,朱晔、朱杰、张成凤、陈瑞,土地使用权,商业用地,安康市,汉滨区,4348.05平方米,安康市秦巴实业集团有限责任公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
白河城投建筑建材有限公司,安康市,白河县,建筑业,683.73,215.73,抵押+保证,李林、毛秀兰、刘锦科、蒋玲、徐放,土地使用权,工业用地,安康市,白河县,27893平方米,白河城投建筑建材有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西平阳风机有限公司,宝鸡市,眉县,工业,668.15,13.18,抵押+保证,李银仓、王列琴、朱海宇、李红莉,工业用房,工业厂房,宝鸡市,眉县,5038.46平方米,陕西平阳风机有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西平阳风机有限公司,宝鸡市,眉县,工业,668.15,13.18,抵押+保证,李银仓、王列琴、朱海宇、李红莉,土地使用权,工业用地,宝鸡市,眉县,11489.83平方米,陕西平阳风机有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西格亚装备制造有限公司,宝鸡市,千阳县,工业,824.93,132.48,抵押+保证,赵亚刚、冯向平,工业用房,工业厂房,宝鸡市,千阳县,4651.08平方米,陕西格亚装备制造有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西格亚装备制造有限公司,宝鸡市,千阳县,工业,824.93,132.48,抵押+保证,赵亚刚、冯向平,土地使用权,工业用地,宝鸡市,千阳县,17333.33平方米,陕西格亚装备制造有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
宝鸡市兄弟医疗器械有限公司,宝鸡市,渭滨区,批发和零售业,433.89,64.74,质押+保证,谢海峰、温小琼,应收款项,交易类应收账款,宝鸡市,岐山县,100万元,宝鸡市兄弟医疗器械有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
宝鸡市兄弟医疗器械有限公司,宝鸡市,渭滨区,批发和零售业,433.89,64.74,质押+保证,谢海峰、温小琼,应收款项,交易类应收账款,宝鸡市,陈仓区,130万元,宝鸡市兄弟医疗器械有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
宝鸡市兄弟医疗器械有限公司,宝鸡市,渭滨区,批发和零售业,433.89,64.74,质押+保证,谢海峰、温小琼,应收款项,交易类应收账款,宝鸡市,渭滨区,210万元,宝鸡市兄弟医疗器械有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西春天农业产业化有限公司,汉中市,宁强县,批发和零售业,574,44.06,抵押+保证,韩桂琴、付春霞、黎汉霞、严凤利、冉金平、冉金文,工业用房,工业厂房,汉中市,宁强县,1681.48平方米,陕西春天农业产业化有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西春天农业产业化有限公司,汉中市,宁强县,批发和零售业,574,44.06,抵押+保证,韩桂琴、付春霞、黎汉霞、严凤利、冉金平、冉金文,土地使用权,工业用地,汉中市,宁强县,23277.75平方米,陕西春天农业产业化有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西金元混凝土有限公司,汉中市,南郑区,建筑业,1098.2,31.24,抵押+保证,邹承华、贺文玉、来淑娥、邹继瑞,商业用房,商铺、商场,汉中市,南郑区,2585.6平方米,汉中裕华房地产开发有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
汉中鳇霸生物有限公司,汉中市,汉台区,农、林、牧、渔业,380,28.18,抵押+保证,刘明礼、刘青松、唐莹,商业用房,商铺、商场,汉中市,汉台区,797.23平方米,汉中鳇霸生物有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
城固县历鑫生态农业园,汉中市,城固县,农、林、牧、渔业,306.12,20.05,抵押+保证,李青青、苏力新,其他,其他抵质押物,汉中市,洋县,975亩林权,李青青、苏力新,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西春光油脂有限公司,汉中市,勉县,工业,878.5,240.19,抵押+保证,陕西锦泰魔芋产业发展有限公司、武庆博纪芝明,其他,其他抵质押物,汉中市,勉县,5025亩林权,陕西春光油脂有限公司,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
陕西春光油脂有限公司,汉中市,勉县,工业,878.5,240.19,抵押+保证,陕西锦泰魔芋产业发展有限公司、武庆博纪芝明,动产,轿车,汉中市,勉县,1辆轿车,武庆博,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
汉中汉阳茶业有限公司,汉中市,勉县,农、林、牧、渔业,128.82,0,抵押+保证,韩小强、肖海清,其他,其他抵质押物,汉中市,勉县,234亩林权,韩小强、肖海清,赵慧平,hpzhao,029-62220218,工商银行44户不良资产包项目
